id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_found
33735026,Modern Roosevelt Urban Studio - Rainier Views,19403115,Vince,Roosevelt,47.67518,-122.31388,Entire home/apt,83,1,26,8/15/2019,6.14,11,333,2019
33735132,Well Appointed Roosevelt Studio-Space Needle,19403115,Vince,Roosevelt,47.67693,-122.31504,Entire home/apt,83,1,27,8/9/2019,6.75,11,349,2019
33738155,Exquisite Home in the Center of Seattle,7321624,Carlos,Belltown,47.61463,-122.34108,Entire home/apt,125,1,23,8/15/2019,7.42,1,263,2019
33742405,South Lake Union Studio near Night Life,48005494,Zeus,South Lake Union,47.62267,-122.33139,Entire home/apt,120,30,1,7/5/2019,0.67,156,334,2019
33742567,Seattle 1BR with Gym Access and Club Room,48005494,Zeus,South Lake Union,47.62076,-122.32981,Entire home/apt,131,30,0,,,156,342,2019
33742635,Stellar Seattle 2BR with Amenities,48005494,Zeus,South Lake Union,47.62234,-122.33008,Entire home/apt,167,30,0,,,156,315,2019
33742761,Seattle 2BR near Amazon HQ,48005494,Zeus,South Lake Union,47.62288,-122.33055,Entire home/apt,164,30,0,,,156,359,2019
33747222,"★ Take my chairs, umbrella & cooler to the beach ★",126031305,Vanessa,North Admiral,47.58228,-122.40123,Entire home/apt,180,1,26,8/8/2019,8.86,1,235,2019
33750236,A room with a balcony,28890740,Wenqi,Broadview,47.71786,-122.35655,Private room,60,2,1,5/27/2019,0.36,3,350,2019
33750656,Orca Suite,50786789,Katherine,Brighton,47.54001,-122.27533,Private room,50,2,24,8/16/2019,5.95,1,37,2019
33774992,4BR Home in Seattle near Greenbelt,48005494,Zeus,West Queen Anne,47.63644,-122.36932,Entire home/apt,203,30,0,,,156,263,2019
33776522,Beautiful 4 Beds Townhome near University of WA,253907249,Jay,Ravenna,47.6824,-122.30135,Entire home/apt,177,1,18,8/13/2019,5.81,1,0,2019
33786125,Stunning views of Elliott Bay & Olympic Mountains,12272762,Caridad,Central Business District,47.60589,-122.33799,Entire home/apt,329,2,12,8/6/2019,3.91,2,121,2019
33788143,"Belltown Condo, Pool & Hot Tub, In Downtown",140236800,TurnKey Vacation Rentals,Belltown,47.6144,-122.34635,Entire home/apt,139,2,5,7/21/2019,1.76,52,353,2019
33800373,Reservoir Park Studio in Maple Leaf-Brand new!!,82931049,Allison,Maple Leaf,47.69091,-122.3178,Entire home/apt,85,2,18,8/17/2019,4.43,1,85,2019
33803288,Brand New Studio at Prime U-District Location,16719911,Jingjing,University District,47.66638,-122.32018,Entire home/apt,79,2,15,8/17/2019,4.84,1,29,2019
33803909,2BR in Seattle Across from Athletic Park,48005494,Zeus,Interbay,47.64823,-122.37893,Entire home/apt,133,30,0,,,156,0,2019
33804034,"Lovely 1BR in Queen Anne, Rooftop + Pet-Friendly",48005494,Zeus,West Queen Anne,47.63279,-122.35793,Entire home/apt,114,30,0,,,156,309,2019
33804169,1BR Apartment in Seattle's Interbay,48005494,Zeus,Interbay,47.64805,-122.37795,Entire home/apt,108,30,0,,,156,336,2019
33808090,Private in-law suite in Ballard,255254827,Anna,Sunset Hill,47.68246,-122.39574,Entire home/apt,105,3,16,8/5/2019,4.53,1,48,2019
33818472,Shangrala,240125144,Kim,West Queen Anne,47.62693,-122.36741,Entire home/apt,200,2,11,8/3/2019,3.44,1,0,2019
33823661,Walk to Beach from Alki Point Cottage,74305,Seattle Oasis,Alki,47.57572,-122.41438,Entire home/apt,107,2,3,7/31/2019,0.97,53,145,2019
33827114,Westlake home with breakfast & walk to waterfront,255399130,Lane & Lloyd,East Queen Anne,47.6392,-122.34285,Private room,71,1,40,8/12/2019,9.68,3,282,2019
33827605,Our newest place to rest your head. Great area!,49798983,Paul,Minor,47.6147,-122.31188,Entire home/apt,60,1,10,7/9/2019,3.26,5,34,2019
33828239,Relax and eat breakfast in Westlake by waterfront,255399130,Lane & Lloyd,East Queen Anne,47.63886,-122.34306,Private room,71,1,45,8/8/2019,11.16,3,277,2019
33834545,Eastlake (Seattle) 2BR Steps from Lake Union,48005494,Zeus,Eastlake,47.63616,-122.32529,Entire home/apt,146,30,0,,,156,352,2019
33834959,One bedroom apartment in Magnolia near downtown,7038250,Lisa,Interbay,47.63713,-122.38856,Entire home/apt,108,2,0,,,2,117,2019
33835706,Luxury 1B living on Capital Hill with top view,29186258,James,Broadway,47.61461,-122.3281,Entire home/apt,168,3,1,5/18/2019,0.32,3,168,2019
33838203,Comfy private room in a quiet Seattle neighborhood,71719049,Jennifer,Meadowbrook,47.69867,-122.29944,Private room,59,1,0,,,2,87,2019
33856812,No Clean Fee 15 min Downtown Light Corner Bedroom,85038298,Kathleen,Pinehurst,47.72254,-122.31679,Private room,50,1,42,8/16/2019,10.33,3,338,2019
33857217,Private and Cozy Suite in North Beacon Hill Home,16061691,Mika & Kenny,North Beacon Hill,47.56864,-122.29975,Private room,70,2,19,8/14/2019,4.71,1,64,2019
33857319,Modern&Stylish view townhouse in Madison Valley,14386120,John,Mann,47.61892,-122.29942,Entire home/apt,140,28,0,,,2,134,2019
33857472,华大UW/Downtown-房间出租(a),71719049,Jennifer,Meadowbrook,47.69886,-122.29779,Private room,49,1,4,8/10/2019,2.4,2,77,2019
33864690,Soul Studio Greenlake,47341825,Roger,Green Lake,47.68542,-122.33507,Entire home/apt,125,2,1,8/12/2019,1,1,124,2019
33873624,Greenwood 2 BR w/yard - Walk to shops/restaurants,72337924,Blake & Lauren,Greenwood,47.69575,-122.34595,Entire home/apt,93,2,16,8/15/2019,5.78,1,48,2019
33877230,Cozy 1 Bedroom Apt Near Children’s Hospital and UW,123282042,Katya,Laurelhurst,47.65498,-122.27718,Entire home/apt,119,2,4,6/29/2019,1.32,1,69,2019
33878778,"Old charm, close to it all, fully rejuvenated",197676739,Svend,North Beacon Hill,47.58958,-122.31672,Private room,80,3,1,5/31/2019,0.37,3,0,2019
33878810,"Cozy, family-friendly 3 BR unit in NE Seattle",103364909,Hadi,Olympic Hills,47.72599,-122.2995,Entire home/apt,149,2,16,8/15/2019,5.93,1,5,2019
33878894,Modern | Spacious| 1 bedroom | High Rise 8 | KK,50550045,Day 1,First Hill,47.609,-122.33035,Entire home/apt,175,3,1,5/27/2019,0.36,181,94,2019
33878916,Modern | Spacious| 1 bedroom | High Rise 7 | KJ,50550045,Day 1,First Hill,47.61004,-122.32997,Entire home/apt,175,3,0,,,181,86,2019
33878944,Modern | Spacious| 1 bedroom | High Rise 6 | KI,50550045,Day 1,First Hill,47.61021,-122.33063,Entire home/apt,175,3,0,,,181,89,2019
33878949,Modern | Spacious| 1 bedroom | High Rise 5 | KH,50550045,Day 1,First Hill,47.6103,-122.33036,Entire home/apt,175,3,0,,,181,267,2019
33878955,Intern Special! Beautiful High Rise 1bd KG,50550045,Day 1,First Hill,47.60874,-122.33061,Entire home/apt,200,3,0,,,181,90,2019
33879155,Spacious Capitol Hill Private Room,36388697,Fangting,Stevens,47.62131,-122.30107,Private room,97,1,11,6/18/2019,2.92,1,4,2019
33882211,Spacious Downtown Seattle Condo,250604438,Summer,Westlake,47.62789,-122.34348,Entire home/apt,200,2,8,8/4/2019,2.89,1,27,2019
33884002,Modern | Spacious| 2 bedroom | High Rise 3 | KL,50550045,Day 1,First Hill,47.60943,-122.32916,Entire home/apt,250,3,1,5/27/2019,0.36,181,96,2019
33894413,Westlake Condos 1 BD 11,8534462,Corp Condos & Apts,South Lake Union,47.62013,-122.33723,Entire home/apt,225,2,0,,,361,352,2019
33894453,Westlake Condos 1 BD 8,8534462,Corp Condos & Apts,South Lake Union,47.61969,-122.33849,Entire home/apt,225,2,0,,,361,362,2019
33894485,Westlake Condos 1 BD 7,8534462,Corp Condos & Apts,South Lake Union,47.61945,-122.33837,Entire home/apt,225,2,0,,,361,363,2019
33894516,Westlake Condos 1 BD 9,8534462,Corp Condos & Apts,South Lake Union,47.61864,-122.33889,Entire home/apt,225,2,0,,,361,361,2019
33894547,Westlake Condos 1 BD 10,8534462,Corp Condos & Apts,South Lake Union,47.61951,-122.33711,Entire home/apt,225,2,0,,,361,363,2019
33900098,"NEW! Water-View Queen Anne Home, 2Mi to DT Seattle",121688409,Evolve,North Queen Anne,47.64261,-122.37374,Entire home/apt,475,2,0,,,18,341,2019
33908071,Waterfront Townhouse in Central Historical Ballard,256057103,Wendy,West Woodland,47.6663,-122.36961,Entire home/apt,149,2,0,,,2,0,2019
33908537,Spacious 1 Bedroom Apartment outside Seattle,188770485,Birungi,Columbia City,47.55733,-122.28471,Entire home/apt,80,1,3,5/27/2019,0.74,1,0,2019
33915271,Charming  2 plus bedroom Home,37052599,Laurel,Mount Baker,47.57765,-122.28931,Entire home/apt,165,1,7,8/12/2019,3.33,3,161,2019
33915294,Sunny and Walkable Condo in First Hill,25322169,Rabecca,Minor,47.6061,-122.3162,Entire home/apt,152,2,5,7/30/2019,3.57,2,216,2019
33919851,Walkable Townhome Minutes to Cap Hill:Master Suite,19245041,Myyk,Mann,47.61894,-122.30086,Private room,99,5,4,8/8/2019,1.38,5,149,2019
